Port,Rate
10050/udp,1
10051/udp,1
1029/udp,1
10514/udp,1
1080/udp,1
1167/udp,1
1194/udp,1
123/udp,1
1241/udp,1
1270/udp,1
1293/udp,1
1311/udp,1
135/udp,1
1352/udp,1
137/udp,1
138/udp,1
1414/udp,1
1433/udp,1
1444/udp,1
1494/udp,1
1527/udp,1
1540/udp,1
1541/udp,1
1542/udp,1
1545/udp,1
1550/udp,1
156/udp,1
1589/udp,1
161/udp,1
162/udp,1
16384/udp,1
170/udp,1
1701/udp,1
1707/udp,1
1719/udp,1
1720/udp,1
177/udp,1
1812/udp,1
1813/udp,1
1900/udp,1
1935/udp,1
1985/udp,1
199/udp,1
1998/udp,1
2000/udp,1
201/udp,1
2049/udp,1
2080/udp,1
2083/udp,1
220/udp,1
2483/udp,1
2484/udp,1
2727/udp,1
280/udp,1
2967/udp,1
3020/udp,1
3052/udp,1
3225/udp,1
3260/udp,1
3268/udp,1
3269/udp,1
3283/udp,1
33848/udp,1
3389/udp,1
3702/udp,1
3799/udp,1
383/udp,1
387/udp,1
4090/udp,1
4172/udp,1
4244/udp,1
443/udp,1
4444/udp,1
445/udp,1
4500/udp,1
464/udp,1
475/udp,1
500/udp,1
5001/udp,1
5004/udp,1
5005/udp,1
5010/udp,1
5060/udp,1
5093/udp,1
5099/udp,1
514/udp,1
520/udp,1
5242/udp,1
5243/udp,1
53/udp,1
530/udp,1
5355/udp,1
5357/udp,1
5358/udp,1
5445/udp,1
546/udp,1
547/udp,1
554/udp,1
5632/udp,1
5678/udp,1
5722/udp,1
593/udp,1
5931/udp,1
5938/udp,1
623/udp,1
631/udp,1
639/udp,1
67/udp,1
68/udp,1
69/udp,1
694/udp,1
7070/udp,1
749/udp,1
750/udp,1
751/udp,1
752/udp,1
753/udp,1
760/udp,1
80/udp,1
8008/udp,1
8080/udp,1
8116/udp,1
8530/udp,1
8531/udp,1
897/udp,1
898/udp,1
9/udp,1
902/udp,1
903/udp,1
9101/udp,1
9102/udp,1
9103/udp,1
9389/udp,1
9785/udp,1
989/udp,1
990/udp,1
992/udp,1
993/udp,1
995/udp,1
10050/tcp,1
10051/tcp,1
1029/tcp,1
10514/tcp,1
1080/tcp,1
110/tcp,1
115/tcp,1
1167/tcp,1
1194/tcp,1
1241/tcp,1
1270/tcp,1
1293/tcp,1
1311/tcp,1
135/tcp,1
1352/tcp,1
137/tcp,1
139/tcp,1
1414/tcp,1
143/tcp,1
1433/tcp,1
1444/tcp,1
1494/tcp,1
1500/tcp,1
15000/tcp,1
1501/tcp,1
1521/tcp,1
1527/tcp,1
1540/tcp,1
1541/tcp,1
1542/tcp,1
1545/tcp,1
1550/tcp,1
156/tcp,1
1560/tcp,1
1561/tcp,1
1562/tcp,1
1563/tcp,1
1564/tcp,1
1565/tcp,1
1566/tcp,1
1567/tcp,1
1568/tcp,1
1569/tcp,1
1570/tcp,1
1571/tcp,1
1572/tcp,1
1573/tcp,1
1574/tcp,1
1575/tcp,1
1576/tcp,1
1577/tcp,1
1578/tcp,1
1579/tcp,1
1580/tcp,1
1581/tcp,1
1581/tcp,1
1582/tcp,1
1582/tcp,1
1583/tcp,1
1583/tcp,1
1584/tcp,1
1585/tcp,1
1586/tcp,1
1587/tcp,1
1588/tcp,1
1589/tcp,1
1589/tcp,1
1590/tcp,1
1591/tcp,1
162/tcp,1
1688/tcp,1
170/tcp,1
1719/tcp,1
1720/tcp,1
177/tcp,1
1812/tcp,1
1813/tcp,1
1935/tcp,1
199/tcp,1
1998/tcp,1
20/tcp,1
2000/tcp,1
201/tcp,1
2049/tcp,1
2080/tcp,1
2083/tcp,1
21/tcp,1
22/tcp,1
220/tcp,1
2221/tcp,1
2222/tcp,1
2223/tcp,1
2224/tcp,1
2225/tcp,1
2226/tcp,1
23/tcp,1
2369/tcp,1
2370/tcp,1
2483/tcp,1
2484/tcp,1
25/tcp,1
2598/tcp,1
27017/tcp,1
2727/tcp,1
280/tcp,1
2967/tcp,1
3020/tcp,1
3052/tcp,1
311/tcp,1
3128/tcp,1
3225/tcp,1
3260/tcp,1
3268/tcp,1
3269/tcp,1
3283/tcp,1
3306/tcp,1
3389/tcp,1
3535/tcp,1
3702/tcp,1
383/tcp,1
387/tcp,1
3872/tcp,1
389/tcp,1
401/tcp,1
4090/tcp,1
4125/tcp,1
4172/tcp,1
4244/tcp,1
443/tcp,1
4444/tcp,1
4445/tcp,1
445/tcp,1
464/tcp,1
465/tcp,1
47001/tcp,1
475/tcp,1
5000/tcp,1
5001/tcp,1
5004/tcp,1
5005/tcp,1
5010/tcp,1
5037/tcp,1
5051/tcp,1
5060/tcp,1
5061/tcp,1
5099/tcp,1
513/tcp,1
514/tcp,1
515/tcp,1
520/tcp,1
5223/tcp,1
5242/tcp,1
5243/tcp,1
53/tcp,1
530/tcp,1
5355/tcp,1
5357/tcp,1
5358/tcp,1
543/tcp,1
5432/tcp,1
544/tcp,1
546/tcp,1
547/tcp,1
548/tcp,1
5480/tcp,1
5481/tcp,1
554/tcp,1
5631/tcp,1
5656/tcp,1
5666/tcp,1
5667/tcp,1
5718/tcp,1
5719/tcp,1
5722/tcp,1
5723/tcp,1
5724/tcp,1
5800/tcp,1
587/tcp,1
5900/tcp,1
593/tcp,1
5931/tcp,1
5938/tcp,1
5985/tcp,1
5986/tcp,1
6005/tcp,1
601/tcp,1
6101/tcp,1
631/tcp,1
636/tcp,1
639/tcp,1
647/tcp,1
6514/tcp,1
660/tcp,1
6600/tcp,1
6601/tcp,1
6602/tcp,1
6653/tcp,1
691/tcp,1
694/tcp,1
7005/tcp,1
7006/tcp,1
7025/tcp,1
7047/tcp,1
7070/tcp,1
7306/tcp,1
7307/tcp,1
749/tcp,1
751/tcp,1
754/tcp,1
760/tcp,1
80/tcp,1
8005/tcp,1
8008/tcp,1
808/tcp,1
8080/tcp,1
8089/tcp,1
8172/tcp,1
8222/tcp,1
829/tcp,1
8291/tcp,1
8333/tcp,1
843/tcp,1
8443/tcp,1
847/tcp,1
8530/tcp,1
8531/tcp,1
860/tcp,1
8642/tcp,1
873/tcp,1
88/tcp,1
8834/tcp,1
888/tcp,1
8880/tcp,1
8888/tcp,1
897/tcp,1
898/tcp,1
9/tcp,1
9001/tcp,1
902/tcp,1
903/tcp,1
9043/tcp,1
9050/tcp,1
9051/tcp,1
9091/tcp,1
9101/tcp,1
9102/tcp,1
9103/tcp,1
9150/tcp,1
9200/tcp,1
9389/tcp,1
9443/tcp,1
953/tcp,1
9785/tcp,1
981/tcp,1
987/tcp,1
989/tcp,1
990/tcp,1
992/tcp,1
993/tcp,1
995/tcp,1
